date,equity,cash,position_value,open_positions,gross_exposure
2025-05-05,115596.38462940478,22740.038805889657,92856.34582351512,4,0.803280709177948
2025-05-06,114435.00682296582,0.0,114435.00682296582,5,1.0
2025-05-07,112756.67383653104,21757.940181076952,90998.7336554541,4,0.8070363425882843
2025-05-08,113569.50703222775,21757.940181076952,91811.5668511508,4,0.8084174110670158
2025-05-11,112884.86426011503,21757.940181076952,91126.92407903809,4,0.8072554693343016
2025-05-12,115783.3108739401,47527.27670967385,68256.03416426625,3,0.589515307940887
2025-05-13,117174.87994863211,47527.27670967385,69647.60323895825,3,0.5943902248458955
2025-05-14,117123.25567290762,47527.27670967385,69595.97896323376,3,0.5942114447159478
2025-05-15,117204.94505319116,24074.56134135146,93130.3837118397,4,0.7945943208247256
2025-05-18,115892.92252608475,45905.347185666324,69987.57534041842,3,0.6038986144703175
2025-05-19,114759.14101154546,44550.326432361726,70208.81457918373,3,0.6117927858323747
2025-05-20,116309.1520648924,44550.326432361726,71758.82563253069,3,0.6169662864749823
2025-05-21,117174.59840073921,46885.91107313117,70288.68732760804,3,0.5998628396166504
2025-05-22,116682.70215564428,46885.91107313117,69796.79108251311,3,0.5981759917542057
2025-05-25,117344.38796311876,46885.91107313117,70458.47688998759,3,0.6004418116027214
2025-05-26,117789.64401620853,0.0,117789.64401620853,5,1.0
2025-05-27,119321.94130456798,0.0,119321.94130456798,5,1.0
2025-05-28,117973.52272015298,0.0,117973.52272015298,5,1.0
2025-05-29,118775.14321272873,0.0,118775.14321272873,5,1.0
2025-06-01,120764.22373407689,0.0,120764.22373407689,5,1.0
2025-06-02,120737.83856821757,24383.972368851613,96353.86619936596,4,0.7980420002709049
2025-06-03,121142.35163593065,50354.71411254168,70787.63752338897,3,0.5843343518386303
2025-06-04,121683.88249613509,50354.71411254168,71329.16838359341,3,0.5861841923548006
2025-06-10,121353.0366062068,50354.71411254168,70998.32249366512,3,0.5850560025461595
2025-06-11,121259.2195436989,50354.71411254168,70904.50543115722,3,0.5847349644668045
2025-06-12,120240.94960529852,72729.80364991198,47511.14595538654,2,0.3951328238120711
2025-06-15,117966.77522743776,117966.77522743776,0.0,0,0.0
2025-06-16,117966.77522743776,117966.77522743776,0.0,0,0.0
2025-06-17,117966.77522743776,117966.77522743776,0.0,0,0.0
2025-06-18,117966.77522743776,117966.77522743776,0.0,0,0.0
